2015-03-12 11:54:16 t: 1.341331e+002, dt: 8.126847e-001, dT_cpu: 1.390e+000 s, dT_avg: 7.124e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:21 t: 1.431313e+002, dt: 8.037194e-001, dT_cpu: 4.840e-001 s, dT_avg: 7.110e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:27 t: 1.468454e+002, dt: 2.122570e-001, dT_cpu: 4.850e-001 s, dT_avg: 7.139e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:32 t: 1.507941e+002, dt: 4.814087e-001, dT_cpu: 4.780e-001 s, dT_avg: 7.146e-001 s, Nc:     0, Nce:    97, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:38 t: 1.593605e+002, dt: 6.045586e-001, dT_cpu: 1.438e+000 s, dT_avg: 7.129e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:43 t: 1.643753e+002, dt: 8.001814e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.102e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:48 t: 1.675443e+002, dt: 9.388468e-002, dT_cpu: 9.370e-001 s, dT_avg: 7.149e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:54 t: 1.706970e+002, dt: 3.010944e-001, dT_cpu: 9.380e-001 s, dT_avg: 7.119e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:59 t: 1.713632e+002, dt: 6.085749e-002, dT_cpu: 9.380e-001 s, dT_avg: 7.157e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:05 t: 1.749633e+002, dt: 5.623810e-001, dT_cpu: 9.380e-001 s, dT_avg: 7.103e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
