2015-03-19 00:06:29 t: 5.524477e+002, dt: 9.500792e-002, dT_cpu: 4.220e-001 s, dT_avg: 3.144e-001 s, Nc:     0, Nce:   511, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:34 t: 5.596027e+002, dt: 1.001799e+000, dT_cpu: 2.030e-001 s, dT_avg: 3.119e-001 s, Nc:     0, Nce:   574, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:39 t: 5.899913e+002, dt: 1.454366e+000, dT_cpu: 2.810e-001 s, dT_avg: 3.113e-001 s, Nc:     0, Nce:   574, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:44 t: 6.518790e+002, dt: 3.031142e+000, dT_cpu: 4.680e-001 s, dT_avg: 3.114e-001 s, Nc:     0, Nce:   574, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:49 t: 6.874467e+002, dt: 5.459940e-001, dT_cpu: 2.560e-001 s, dT_avg: 3.119e-001 s, Nc:     0, Nce:   574, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:54 t: 7.521351e+002, dt: 1.041361e+001, dT_cpu: 2.190e-001 s, dT_avg: 3.101e-001 s, Nc:     0, Nce:   574, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:59 t: 7.859167e+002, dt: 1.854215e-001, dT_cpu: 3.910e-001 s, dT_avg: 3.124e-001 s, Nc:     0, Nce:   574, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:04 t: 7.863830e+002, dt: 5.413017e-003, dT_cpu: 4.220e-001 s, dT_avg: 3.144e-001 s, Nc:     0, Nce:   675, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:09 t: 7.867733e+002, dt: 8.980899e-002, dT_cpu: 1.870e-001 s, dT_avg: 3.110e-001 s, Nc:     0, Nce:   901, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:14 t: 8.374462e+002, dt: 2.090418e+000, dT_cpu: 2.340e-001 s, dT_avg: 3.082e-001 s, Nc:     0, Nce:   901, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
